topic,subtopic,concept1,concept2,difficulty,expected_keywords
DBMS,DBMS basics,database,dbms,easy,data storage system
DBMS,DBMS basics,schema,instance,medium,database structure
DBMS,DBMS basics,rdbms,data independence,medium,relational model
DBMS,ER Modeling,entity,attribute,easy,data modeling
DBMS,ER Modeling,relationship,cardinality,medium,relationship mapping
DBMS,ER Modeling,weak entity,relationship,medium,entity dependency
DBMS,DBMS Architecture,three schema architecture,logical level,medium,data abstraction
DBMS,DBMS Architecture,physical level,view level,medium,architecture layers
DBMS,Entities & Keys,primary key,foreign key,easy,table relationship
DBMS,Entities & Keys,candidate key,composite key,medium,key constraints
DBMS,Entities & Keys,referential integrity,foreign key,medium,integrity constraint
DBMS,Normalization,1NF,2NF,easy,normal form
DBMS,Normalization,3NF,BCNF,medium,functional dependency
DBMS,Normalization,functional dependency,transitive dependency,hard,dependency analysis
DBMS,Joins,inner join,left join,easy,relational join
DBMS,Joins,right join,full join,medium,outer join
DBMS,Joins,self join,inner join,medium,table relation
DBMS,DDL DML DCL TCL,create,alter,easy,schema modification
DBMS,DDL DML DCL TCL,insert,update,medium,data manipulation
DBMS,DDL DML DCL TCL,delete,select,medium,data query
DBMS,DDL DML DCL TCL,drop,truncate,medium,schema changes
DBMS,DDL DML DCL TCL,grant,revoke,medium,access control
DBMS,DDL DML DCL TCL,commit,rollback,medium,transaction control
DBMS,Aggregations,group by,count,easy,aggregation query
DBMS,Aggregations,sum,avg,medium,numeric aggregation
DBMS,Aggregations,min,max,medium,aggregation result
DBMS,Aggregations,group by,having,medium,filtering groups
DBMS,Indexing,B+ tree,clustered index,medium,index structure
DBMS,Indexing,hash index,non-clustered index,medium,index lookup
DBMS,Indexing,clustered index,non-clustered index,medium,index comparison
DBMS,ACID,atomicity,consistency,easy,transaction property
DBMS,ACID,isolation,durability,easy,transaction reliability
DBMS,Isolation Levels,read committed,dirty read,medium,isolation anomaly
DBMS,Isolation Levels,repeatable read,phantom read,medium,concurrency anomaly
DBMS,Isolation Levels,serializable,repeatable read,hard,isolation guarantee
DBMS,Isolation Levels,read uncommitted,dirty read,medium,isolation level
DBMS,Locks,shared lock,exclusive lock,medium,locking protocol
DBMS,Locks,two phase locking,intention lock,hard,concurrency control
DBMS,Locks,shared lock,exclusive lock,medium,lock compatibility
DBMS,Deadlocks DBMS,wait-for graph,deadlock detection,medium,cycle detection
DBMS,Deadlocks DBMS,deadlock prevention,deadlock avoidance,medium,resource allocation
